id,sup,tot,ht_h,ht_a,ft_h,ft_a
1235,0.4,2.6,2,0,2,1
1236,-0.09,2.3,1,0,1,1
1237,1.09,3.02,2,1,2,2
1238,-0.46,2.37,0,1,0,2
1239,0.1,2.48,2,1,3,1
1240,0.46,3.05,0,0,0,1
1241,-0.73,2.74,1,0,1,0
1242,0.96,2.88,1,0,4,2
1243,0.48,2.62,3,0,4,0
1244,0.53,2.47,1,0,1,1
1245,-0.05,2.44,0,1,2,3
1246,0.65,2.33,0,0,1,1
1247,0.81,2.92,0,0,0,0
1248,1.78,3.29,3,1,4,1
1249,0.5,2.56,0,0,2,0
1250,-0.15,2.46,0,1,0,1
1251,0.38,2.33,0,0,0,2
1252,-0.01,2.62,1,0,3,0
1253,0.68,2.69,0,0,0,0
1254,0.5,2.28,0,0,1,1
1255,0.3,2.49,0,0,2,1
1256,-0.47,2.67,1,0,3,0
1257,0.17,2.92,1,1,2,2
1258,0.51,2.45,0,0,0,2
1259,-0.11,2.71,2,1,2,1
1260,0.76,2.98,0,0,2,1
1261,0.37,3.22,0,1,1,2
1262,-0.47,2.58,0,0,2,1
1263,0.63,2.68,0,1,0,1
1264,0.17,2.65,1,0,1,1
1265,0.41,2.68,1,2,1,3
1266,0.07,2.93,0,0,2,0
1267,0.65,2.48,0,0,0,1
1268,0.23,2.64,0,0,1,1
1269,-0.47,2.4,0,1,0,1
1270,-0.1,2.63,0,2,0,2
1271,-0.44,2.48,0,0,0,1
1272,1.41,2.88,0,0,0,0
1273,0.13,2.3,0,0,1,2
1274,-0.22,2.74,0,0,2,3
1275,0.16,2.55,0,0,0,1
1276,0.75,3.11,0,0,0,0
1277,0.07,2.94,1,1,1,2
1278,0.4,2.71,0,0,0,1
1279,0.28,3.16,1,1,1,2
1280,0.08,2.54,0,0,0,1
1281,0.54,2.65,2,0,3,0
1282,-0.06,2.44,0,0,1,0
1283,0.41,2.68,0,1,0,3
1284,0.9,2.78,1,2,2,2
1285,0.36,2.45,1,0,2,1
1286,0.34,2.48,0,0,1,0
1287,-0.3,2.16,0,1,0,1
1288,1.24,2.56,0,1,0,2
1289,0.95,2.78,0,2,1,2
1290,0.06,2.65,0,1,2,2
1291,0.23,2.83,0,1,0,1
1292,0.8,3.17,1,0,1,0
1293,0.15,2.39,0,1,2,1
1294,-0.24,2.87,1,0,2,0
1295,0.24,3.01,0,1,0,1
1296,0.28,2.37,1,0,2,0
1297,0.31,2.88,0,2,0,4
1298,0.46,2.57,0,0,0,0
1299,0.82,3.28,0,1,1,2
1300,0.53,2.87,0,1,1,2
1301,-0.03,2.77,1,0,2,1
1302,-0.4,2.63,1,0,2,2
1303,0.76,2.76,0,0,0,0
1304,0.5,3.23,4,1,4,1
1305,-0.76,2.9,1,0,1,2
1306,0,2.55,0,1,1,3
1307,-0.22,2.96,1,0,1,0
1308,0.8,3.07,1,0,1,0
1309,0.15,3.2,0,0,1,0
1310,1.18,2.19,0,1,0,4
1311,0.92,2.88,0,2,1,2
1312,0.88,2.49,1,0,5,0
1313,0.22,2.73,1,1,1,1
1314,1.83,3.38,2,0,3,0
1315,0.31,2.34,2,2,3,2
1316,0.51,2.57,1,0,1,0
1317,-1.46,2.42,0,2,0,2
1318,0.62,3.23,0,1,1,2
1319,0.84,2.35,2,0,3,0
1320,-0.2,2.22,0,0,1,0
1321,-0.31,1.94,0,1,0,3
1322,0.99,3.06,0,0,1,1
1323,0.65,2.29,0,0,0,1
1324,0.02,2.42,0,3,2,3
1325,0.77,2.46,0,0,1,0
1326,0.54,2.25,1,0,1,0
1327,1.32,3.13,1,0,3,1
1328,-0.1,2.6,2,0,4,3
1329,-1.23,3.13,0,2,0,5
1330,0.89,3.12,0,0,2,0
1331,0.23,2.57,0,1,0,2
1332,1.45,2.76,2,1,2,1
1333,-0.22,2.78,0,4,1,5
1334,-0.05,2.67,0,0,0,1
1335,0.21,2.51,1,0,1,0
1336,1.04,3.05,3,2,3,2
1337,0.9,2.56,0,0,0,0
1338,0.45,2.82,0,2,0,5
1339,0.21,2.64,2,0,3,1
1340,1.23,2.65,1,1,3,1
1341,1.13,2.29,1,0,1,1
1342,-0.13,2.69,0,2,0,4
1343,-0.92,2.75,0,2,1,2
1344,-0.11,3.29,1,1,1,1
1345,0.42,2.52,0,0,0,0
1346,0.52,2.25,0,1,0,1
1347,-0.11,2.84,0,0,0,0
1348,1.72,3.12,0,0,1,0
1349,0.29,2.48,0,0,1,0
1350,0.78,2.88,2,0,2,0
1351,0.06,2.89,1,1,3,1
1352,0.33,2.26,0,1,0,2
1353,-1.4,3.24,0,1,0,3
1354,1.55,2.63,0,0,0,0
1355,1.8,2.91,2,0,2,1
1356,0.23,2.34,0,0,0,1
1357,1.23,3.31,2,0,2,0
1358,-0.07,2.49,0,1,0,1
1359,-0.04,2.75,4,1,5,2
1360,0.53,2.65,0,0,1,1
1361,1.01,3.05,0,0,0,1
1362,0.23,2.17,0,0,1,1
1363,0.8,2.63,0,1,2,2
