,start_date,start_station_code,end_date,end_station_code,duration_sec,is_member,dow,day_count_year,day_count_ref
352178,2014-08-21 00:24:00,6184,2014-08-21 00:42:00,6085,1104,1,0.0,233,233
365140,2014-08-21 17:40:00,6184,2014-08-21 18:01:00,6085,1230,1,0.0,233,233
373656,2014-08-22 08:15:00,6184,2014-08-22 08:34:00,6085,1116,1,0.0,234,234
469420,2014-08-27 08:51:00,6184,2014-08-27 09:08:00,6085,1006,1,0.0,239,239
488425,2014-08-28 08:16:00,6184,2014-08-28 08:34:00,6085,1071,1,0.0,240,240
526945,2014-08-29 23:27:00,6184,2014-08-29 23:52:00,6085,1488,1,0.0,241,241
536585,2014-08-30 15:35:00,6184,2014-08-30 16:01:00,6085,1563,0,0.0,242,242
536625,2014-08-30 15:35:00,6184,2014-08-30 16:01:00,6085,1527,0,0.0,242,242
17962,2014-09-02 08:51:00,6184,2014-09-02 09:15:00,6085,1494,1,0.0,245,245
33509,2014-09-03 08:06:00,6184,2014-09-03 08:25:00,6085,1144,1,0.0,246,246
37045,2014-09-03 10:38:00,6184,2014-09-03 10:58:00,6085,1149,1,0.0,246,246
40182,2014-09-03 14:01:00,6184,2014-09-03 14:30:00,6085,1741,1,0.0,246,246
40183,2014-09-03 14:01:00,6184,2014-09-03 14:30:00,6085,1742,1,0.0,246,246
55755,2014-09-04 08:21:00,6184,2014-09-04 08:40:00,6085,1094,1,0.0,247,247
56811,2014-09-04 08:48:00,6184,2014-09-04 09:13:00,6085,1481,1,0.0,247,247
77802,2014-09-05 08:30:00,6184,2014-09-05 08:54:00,6085,1473,1,0.0,248,248
79249,2014-09-05 09:19:00,6184,2014-09-05 09:36:00,6085,1029,1,0.0,248,248
119967,2014-09-08 08:20:00,6184,2014-09-08 08:44:00,6085,1401,1,0.0,251,251
120377,2014-09-08 08:31:00,6184,2014-09-08 08:51:00,6085,1203,1,0.0,251,251
121911,2014-09-08 09:21:00,6184,2014-09-08 09:47:00,6085,1558,1,0.0,251,251
139726,2014-09-09 08:09:00,6184,2014-09-09 08:25:00,6085,1003,1,0.0,252,252
139960,2014-09-09 08:14:00,6184,2014-09-09 08:36:00,6085,1290,1,0.0,252,252
152365,2014-09-09 17:57:00,6184,2014-09-09 18:27:00,6085,1761,1,0.0,252,252
160987,2014-09-10 08:29:00,6184,2014-09-10 08:50:00,6085,1251,1,0.0,253,253
194736,2014-09-12 08:30:00,6184,2014-09-12 08:51:00,6085,1248,1,0.0,255,255
194879,2014-09-12 08:34:00,6184,2014-09-12 08:50:00,6085,954,1,0.0,255,255
215296,2014-09-14 01:18:00,6184,2014-09-14 01:37:00,6085,1190,1,0.0,257,257
226985,2014-09-15 08:32:00,6184,2014-09-15 08:53:00,6085,1268,1,0.0,258,258
227085,2014-09-15 08:35:00,6184,2014-09-15 08:56:00,6085,1234,1,0.0,258,258
228412,2014-09-15 09:37:00,6184,2014-09-15 09:54:00,6085,1007,1,0.0,258,258
243431,2014-09-16 08:31:00,6184,2014-09-16 08:54:00,6085,1385,1,0.0,259,259
257144,2014-09-16 21:25:00,6184,2014-09-16 21:50:00,6085,1550,1,0.0,259,259
273083,2014-09-17 19:16:00,6184,2014-09-17 19:36:00,6085,1169,1,0.0,260,260
279763,2014-09-18 09:47:00,6184,2014-09-18 10:11:00,6085,1426,1,0.0,261,261
283828,2014-09-18 15:21:00,6184,2014-09-18 15:38:00,6085,982,1,0.0,261,261
294358,2014-09-19 08:20:00,6184,2014-09-19 08:38:00,6085,1087,1,0.0,262,262
295091,2014-09-19 08:44:00,6184,2014-09-19 09:04:00,6085,1159,1,0.0,262,262
331644,2014-09-22 08:09:00,6184,2014-09-22 08:25:00,6085,970,1,0.0,265,265
